From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
10184;1421;sea;2899;-1;-1;-1;-1;;Sulu-Mindanao
7385;12153;sea;8751;-1;-1;-1;-1;;Bohol-Cebu
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
3178;13269;sea;3590;-1;-1;-1;-1;;Isle of Skye
13270;11064;sea;3195;-1;-1;-1;-1;;Orkney-Thurso
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
2919;2943;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;hormuz
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
611;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;3612;impassable;-1;-1;-1;-1;-1;;western alps
11570;9587;impassable;-1;-1;-1;-1;-1;;western alps
6635;9587;impassable;-1;-1;-1;-1;-1;;western alps
3641;11601;impassable;-1;-1;-1;-1;-1;;central alps
3641;658;impassable;-1;-1;-1;-1;-1;;central alps
6661;3662;impassable;-1;-1;-1;-1;-1;;eastern alps
3662;11587;impassable;-1;-1;-1;-1;-1;;eastern alps
11587;3660;impassable;-1;-1;-1;-1;-1;;eastern alps
3660;6675;impassable;-1;-1;-1;-1;-1;;eastern alps
6675;9633;impassable;-1;-1;-1;-1;-1;;eastern alps
9633;9630;impassable;-1;-1;-1;-1;-1;;eastern alps
9630;11618;impassable;-1;-1;-1;-1;-1;;eastern alps
671;11634;impassable;-1;-1;-1;-1;-1;;austrian alps
671;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3675;668;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;3675;impassable;-1;-1;-1;-1;-1;;austrian alps
3674;6691;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;6687;impassable;-1;-1;-1;-1;-1;;austrian alps
6691;9650;impassable;-1;-1;-1;-1;-1;;austrian alps
9650;3684;impassable;-1;-1;-1;-1;-1;;austrian alps
12315;7487;impassable;-1;-1;-1;-1;-1;;tamrau and arfak mts
10436;7269;impassable;-1;-1;-1;-1;-1;;weyland mts
10436;4593;impassable;-1;-1;-1;-1;-1;;weyland mts
10436;8235;impassable;-1;-1;-1;-1;-1;;weyland mts
7570;8235;impassable;-1;-1;-1;-1;-1;;maoke mts
7570;8250;impassable;-1;-1;-1;-1;-1;;maoke mts
10990;8250;impassable;-1;-1;-1;-1;-1;;maoke mts
10990;11004;impassable;-1;-1;-1;-1;-1;;maoke mts
10423;11004;impassable;-1;-1;-1;-1;-1;;maoke mts
11018;11004;impassable;-1;-1;-1;-1;-1;;bismarck range
10954;11018;impassable;-1;-1;-1;-1;-1;;bismarck range
11018;2129;impassable;-1;-1;-1;-1;-1;;bismarck range
10954;12428;impassable;-1;-1;-1;-1;-1;;bismarck range
10954;5135;impassable;-1;-1;-1;-1;-1;;bismarck range
1222;5135;impassable;-1;-1;-1;-1;-1;;bismarck range
5135;12931;impassable;-1;-1;-1;-1;-1;;bismarck range
12193;12931;impassable;-1;-1;-1;-1;-1;;bismarck range
12237;12931;impassable;-1;-1;-1;-1;-1;;bismarck range
4418;12931;impassable;-1;-1;-1;-1;-1;;bismarck range
7409;4418;impassable;-1;-1;-1;-1;-1;;owen stanley range
7409;10974;impassable;-1;-1;-1;-1;-1;;owen stanley range
4317;10974;impassable;-1;-1;-1;-1;-1;;owen stanley range
4317;7305;impassable;-1;-1;-1;-1;-1;;owen stanley range
7349;7378;impassable;-1;-1;-1;-1;-1;;owen stanley range
4346;7378;impassable;-1;-1;-1;-1;-1;;owen stanley range
4346;7333;impassable;-1;-1;-1;-1;-1;;owen stanley range
12995;7333;impassable;-1;-1;-1;-1;-1;;owen stanley range
12995;10231;impassable;-1;-1;-1;-1;-1;;owen stanley range
2222;4216;impassable;-1;-1;-1;-1;-1;;mueller range
2222;7443;impassable;-1;-1;-1;-1;-1;;mueller range
7424;7443;impassable;-1;-1;-1;-1;-1;;mueller range
7424;2117;impassable;-1;-1;-1;-1;-1;;mueller range
5226;2117;impassable;-1;-1;-1;-1;-1;;mueller range
2047;2117;impassable;-1;-1;-1;-1;-1;;mueller range
2047;8091;impassable;-1;-1;-1;-1;-1;;mueller range
2047;10269;impassable;-1;-1;-1;-1;-1;;mueller range
2047;1335;impassable;-1;-1;-1;-1;-1;;mueller range
12243;1335;impassable;-1;-1;-1;-1;-1;;mueller range
12243;4338;impassable;-1;-1;-1;-1;-1;;mueller range
12330;7598;impassable;-1;-1;-1;-1;-1;;poso highlands
12330;4308;impassable;-1;-1;-1;-1;-1;;poso highlands
12330;1561;impassable;-1;-1;-1;-1;-1;;poso highlands
1561;7336;impassable;-1;-1;-1;-1;-1;;poso highlands
4308;1561;impassable;-1;-1;-1;-1;-1;;poso highlands
12209;1313;impassable;-1;-1;-1;-1;-1;;barisan range
12209;1274;impassable;-1;-1;-1;-1;-1;;barisan range
7308;1274;impassable;-1;-1;-1;-1;-1;;barisan range
7308;10150;impassable;-1;-1;-1;-1;-1;;barisan range
12138;10294;impassable;-1;-1;-1;-1;-1;;barisan range
7440;10294;impassable;-1;-1;-1;-1;-1;;barisan range
12415;10294;impassable;-1;-1;-1;-1;-1;;barisan range
12415;1373;impassable;-1;-1;-1;-1;-1;;barisan range
12415;1533;impassable;-1;-1;-1;-1;-1;;barisan range
7368;1533;impassable;-1;-1;-1;-1;-1;;barisan range
10382;1533;impassable;-1;-1;-1;-1;-1;;barisan range
10354;12343;impassable;-1;-1;-1;-1;-1;;barisan range
10354;12181;impassable;-1;-1;-1;-1;-1;;barisan range
10354;7327;impassable;-1;-1;-1;-1;-1;;barisan range
1460;7327;impassable;-1;-1;-1;-1;-1;;barisan range
10522;12302;impassable;-1;-1;-1;-1;-1;;barisan range
10522;7673;impassable;-1;-1;-1;-1;-1;;barisan range
8360;1648;impassable;-1;-1;-1;-1;-1;;barisan range
12488;1648;impassable;-1;-1;-1;-1;-1;;barisan range
12488;10509;impassable;-1;-1;-1;-1;-1;;barisan range
10297;4384;impassable;-1;-1;-1;-1;-1;;titiwangsa range
1376;4384;impassable;-1;-1;-1;-1;-1;;titiwangsa range
1364;4384;impassable;-1;-1;-1;-1;-1;;titiwangsa range
1364;10227;impassable;-1;-1;-1;-1;-1;;titiwangsa range
4310;10227;impassable;-1;-1;-1;-1;-1;;titiwangsa range
10217;4388;impassable;-1;-1;-1;-1;-1;;tennaserim range
4275;4388;impassable;-1;-1;-1;-1;-1;;tennaserim range
1296;12122;impassable;-1;-1;-1;-1;-1;;tennaserim range
1296;4392;impassable;-1;-1;-1;-1;-1;;tennaserim range
12292;4392;impassable;-1;-1;-1;-1;-1;;tennaserim range
1385;4392;impassable;-1;-1;-1;-1;-1;;tennaserim range
1385;4348;impassable;-1;-1;-1;-1;-1;;tennaserim range
1315;4348;impassable;-1;-1;-1;-1;-1;;tennaserim range
7295;4348;impassable;-1;-1;-1;-1;-1;;tennaserim range
7295;10193;impassable;-1;-1;-1;-1;-1;;tennaserim range
12125;10193;impassable;-1;-1;-1;-1;-1;;tennaserim range
12125;4566;impassable;-1;-1;-1;-1;-1;;tennaserim range
4408;4566;impassable;-1;-1;-1;-1;-1;;tennaserim range
4408;7312;impassable;-1;-1;-1;-1;-1;;tennaserim range
12238;7312;impassable;-1;-1;-1;-1;-1;;tennaserim range
12238;1253;impassable;-1;-1;-1;-1;-1;;tennaserim range
4293;1253;impassable;-1;-1;-1;-1;-1;;shan hills
7441;1253;impassable;-1;-1;-1;-1;-1;;shan hills
12317;1253;impassable;-1;-1;-1;-1;-1;;shan hills
12317;7675;impassable;-1;-1;-1;-1;-1;;shan hills
7647;7675;impassable;-1;-1;-1;-1;-1;;shan hills
7647;10371;impassable;-1;-1;-1;-1;-1;;shan hills
7647;1990;impassable;-1;-1;-1;-1;-1;;shan hills
4175;1990;impassable;-1;-1;-1;-1;-1;;shan hills
4654;7647;impassable;-1;-1;-1;-1;-1;;shan hills
1607;7647;impassable;-1;-1;-1;-1;-1;;shan hills
7603;4175;impassable;-1;-1;-1;-1;-1;;shan hills
2061;4175;impassable;-1;-1;-1;-1;-1;;shan hills
7909;4568;impassable;-1;-1;-1;-1;-1;;shan hills
7909;10776;impassable;-1;-1;-1;-1;-1;;shan hills
7400;10413;impassable;-1;-1;-1;-1;-1;;shan hills
4210;10413;impassable;-1;-1;-1;-1;-1;;shan hills
4210;5009;impassable;-1;-1;-1;-1;-1;;shan hills
4210;7976;impassable;-1;-1;-1;-1;-1;;shan hills
4210;10863;impassable;-1;-1;-1;-1;-1;;shan hills
4210;1170;impassable;-1;-1;-1;-1;-1;;shan hills
4210;2061;impassable;-1;-1;-1;-1;-1;;shan hills
1990;10456;impassable;-1;-1;-1;-1;-1;;daen lao range
4496;10456;impassable;-1;-1;-1;-1;-1;;daen lao range
8045;10330;impassable;-1;-1;-1;-1;-1;;daen lao range
8045;10356;impassable;-1;-1;-1;-1;-1;;daen lao range
12345;10356;impassable;-1;-1;-1;-1;-1;;daen lao range
12195;12224;impassable;-1;-1;-1;-1;-1;;chantaburi range
12264;4251;impassable;-1;-1;-1;-1;-1;;dangrek range
12264;10467;impassable;-1;-1;-1;-1;-1;;dangrek range
12417;12460;impassable;-1;-1;-1;-1;-1;;dangrek range
1577;12167;impassable;-1;-1;-1;-1;-1;;annamite range
1577;4596;impassable;-1;-1;-1;-1;-1;;annamite range
1577;1248;impassable;-1;-1;-1;-1;-1;;annamite range
4554;1248;impassable;-1;-1;-1;-1;-1;;annamite range
4554;7229;impassable;-1;-1;-1;-1;-1;;annamite range
7426;7229;impassable;-1;-1;-1;-1;-1;;annamite range
7426;4379;impassable;-1;-1;-1;-1;-1;;annamite range
12210;1302;impassable;-1;-1;-1;-1;-1;;annamite range
10195;1302;impassable;-1;-1;-1;-1;-1;;annamite range
4260;7280;impassable;-1;-1;-1;-1;-1;;annamite range
4260;12297;impassable;-1;-1;-1;-1;-1;;annamite range
10326;12297;impassable;-1;-1;-1;-1;-1;;annamite range
10326;4397;impassable;-1;-1;-1;-1;-1;;annamite range
1362;9988;impassable;-1;-1;-1;-1;-1;;annamite range
12332;9988;impassable;-1;-1;-1;-1;-1;;annamite range
9961;9988;impassable;-1;-1;-1;-1;-1;;annamite range
9961;11909;impassable;-1;-1;-1;-1;-1;;annamite range
7218;10103;impassable;-1;-1;-1;-1;-1;;annamite range
7218;4529;impassable;-1;-1;-1;-1;-1;;annamite range
12392;4529;impassable;-1;-1;-1;-1;-1;;annamite range
12392;12319;impassable;-1;-1;-1;-1;-1;;annamite range
12392;1522;impassable;-1;-1;-1;-1;-1;;annamite range
12392;10776;impassable;-1;-1;-1;-1;-1;;annamite range
7518;1196;impassable;-1;-1;-1;-1;-1;;annamite range
7518;1172;impassable;-1;-1;-1;-1;-1;;annamite range
7518;4656;impassable;-1;-1;-1;-1;-1;;annamite range
10920;10863;impassable;-1;-1;-1;-1;-1;;kachin hills
4425;10863;impassable;-1;-1;-1;-1;-1;;kachin hills
4996;10863;impassable;-1;-1;-1;-1;-1;;kachin hills
4996;12898;impassable;-1;-1;-1;-1;-1;;kachin hills
4996;12789;impassable;-1;-1;-1;-1;-1;;kachin hills
4318;12789;impassable;-1;-1;-1;-1;-1;;kachin hills
1996;4318;impassable;-1;-1;-1;-1;-1;;patkai range
1996;1197;impassable;-1;-1;-1;-1;-1;;patkai range
12322;1197;impassable;-1;-1;-1;-1;-1;;patkai range
12322;4087;impassable;-1;-1;-1;-1;-1;;patkai range
1553;4087;impassable;-1;-1;-1;-1;-1;;patkai range
1581;4087;impassable;-1;-1;-1;-1;-1;;patkai range
1581;4588;impassable;-1;-1;-1;-1;-1;;patkai range
1581;4454;impassable;-1;-1;-1;-1;-1;;patkai range
10090;3999;impassable;-1;-1;-1;-1;-1;;patkai range
997;3999;impassable;-1;-1;-1;-1;-1;;patkai range
997;11966;impassable;-1;-1;-1;-1;-1;;patkai range
997;7122;impassable;-1;-1;-1;-1;-1;;patkai range
9991;7122;impassable;-1;-1;-1;-1;-1;;patkai range
11966;7534;impassable;-1;-1;-1;-1;-1;;arakan range
11966;7163;impassable;-1;-1;-1;-1;-1;;arakan range
10033;7163;impassable;-1;-1;-1;-1;-1;;arakan range
10033;7190;impassable;-1;-1;-1;-1;-1;;arakan range
4147;7190;impassable;-1;-1;-1;-1;-1;;arakan range
4147;4019;impassable;-1;-1;-1;-1;-1;;arakan range
1014;4019;impassable;-1;-1;-1;-1;-1;;arakan range
3651;1333;impassable;-1;-1;-1;-1;-1;;arakan range
10182;12284;impassable;-1;-1;-1;-1;-1;;arakan range
4368;12213;impassable;-1;-1;-1;-1;-1;;central cordillera
4368;10298;impassable;-1;-1;-1;-1;-1;;central cordillera
4368;10167;impassable;-1;-1;-1;-1;-1;;central cordillera
4350;10167;impassable;-1;-1;-1;-1;-1;;central cordillera
12253;10167;impassable;-1;-1;-1;-1;-1;;central cordillera
12253;4423;impassable;-1;-1;-1;-1;-1;;central cordillera
12217;12160;impassable;-1;-1;-1;-1;-1;;mindanao cordillera
12217;12245;impassable;-1;-1;-1;-1;-1;;mindanao cordillera
12217;7445;impassable;-1;-1;-1;-1;-1;;mindanao cordillera
12273;7445;impassable;-1;-1;-1;-1;-1;;mindanao cordillera
1234;7445;impassable;-1;-1;-1;-1;-1;;mindanao cordillera
5539;5960;;-1;-1;-1;-1;-1;MALACCA_STRAIT;Malacca Strait
2737;2714;;-1;-1;-1;-1;-1;SUNDA_STRAIT;Sunda Strait
2265;2239;;-1;-1;-1;-1;-1;LOMBOK_STRAITS;Lombok and Alas Straits
2440;2239;;-1;-1;-1;-1;-1;LOMBOK_STRAITS;Bali Strait
2124;2291;;-1;-1;-1;-1;-1;SAPE_STRAIT;Sape Strait
8822;2833;;-1;-1;-1;-1;-1;MAKASSAR_STRAIT;Makassar Strait
5414;4676;;-1;-1;-1;-1;-1;OMBAI_STRAIT;Ombai Southern
5414;2291;;-1;-1;-1;-1;-1;OMBAI_STRAIT;Ombai Northern
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk
13058;10245;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;12512;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;10636;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
13058;13066;impassable;-1;-1;-1;-1;-1;;Greenland Glacier
12960;13292;sea;2580;-1;-1;-1;-1;;Falklands
7683;13293;sea;8642;-1;-1;-1;-1;;Cote Nord
8198;13295;sea;5473;-1;-1;-1;-1;;Aysen
13307;13296;sea;9009;-1;-1;-1;-1;;Chubut
12954;13297;sea;5424;-1;-1;-1;-1;;Araucania
13312;7982;sea;2919;-1;-1;-1;-1;;South Iran
761;13315;sea;9092;-1;-1;-1;-1;;Ontario
13196;13314;sea;9092;-1;-1;-1;-1;;Northern Quebec
-1;-1;;-1;-1;-1;-1;-1;-1;
